doi,capture.READER_COUNT,citation.Scopus,citation.CrossRef,citation.Academic Citation Index (ACI) - airiti,citation.PubMed,citation.Policy Citation,citation.Patent Families,mention.NEWS_COUNT,mention.FACEBOOK_COUNT,mention.REFERENCE_COUNT,citation.SSRN,mention.ABSTRACT_VIEWS,mention.DOWNLOAD_COUNT,mention.ALL_BLOG_COUNT,citation.PubMed Guidelines,mention.FULL_TEXT_VIEWS,citation.SciELO,capture.EXPORTS_SAVES,citation.CSCD
10.1021/ie980776x,11.0,10.0,6.0,,,,,,,,,,,,,,,,
10.1080/0065955x.2000.11982230,1.0,,1.0,,,,,,,,,,,,,,,,
10.1084/jem.192.6.769,102.0,148.0,131.0,,63.0,,2.0,,,,,,,,,,,,
10.1021/bi000663t,5.0,35.0,32.0,,20.0,,,,,,,,,,,,,,
10.1116/1.1286717,9.0,7.0,5.0,,,,,,,,,,,,,,,,
10.1063/1.481067,4.0,17.0,14.0,,,,,,,,,,,,,,,,
10.1021/jp993855a,4.0,27.0,28.0,,,,,,,,,,,,,,,,
10.1016/s0022-5347(05)67614-8,10.0,32.0,28.0,,,,,,,,,,,,,,,,
10.1063/1.481477,6.0,10.0,9.0,,,,,,,,,,,,,,,,
10.1021/ac0008892,12.0,14.0,14.0,,,,,,,,,,,,,,,,
10.1177/109634800002400208,25.0,10.0,6.0,,,,,,,,,,,,,,,,
10.1021/ic991279r,4.0,24.0,18.0,,,,,,,,,,,,,,,,
10.1083/jcb.150.5.1101,59.0,79.0,75.0,,29.0,,,,,,,,,,,,,,
10.4043/12135-ms,11.0,,1.0,,,,,,,,,,,,,,,,
10.18785/goms.1801.03,25.0,34.0,,,,,,,,,,92.0,158.0,,,,,,
10.1021/jp001375+,4.0,24.0,15.0,,,,,,,,,,,,,,,,
10.1021/ol9904040,8.0,87.0,75.0,,1.0,,,,,,,,,,,,,,
10.1021/la000212+,6.0,5.0,4.0,,,,,,,,,,,,,,,,
10.2514/2.2682,37.0,47.0,35.0,,,,,,,,,,,,,,,,
10.1177/153331750001500110,21.0,9.0,7.0,,,,,,,,,,,,,,,,
10.1152/ajpheart.2000.278.6.h2134,10.0,57.0,41.0,,17.0,,,,,,,,,,,,,,
10.1210/mend.14.9.0511,26.0,40.0,28.0,,19.0,,1.0,,,2.0,,,,,,,,,
10.1152/ajpheart.2000.279.5.h2124,53.0,189.0,149.0,,77.0,,,,,,,,,,,,,,
10.2514/2.3607,4.0,53.0,34.0,,,,,,,,,,,,,,,,
10.3109/10428190009089432,14.0,25.0,16.0,,5.0,,,,,,,,,,,,,,
10.1021/jo9915731,16.0,44.0,40.0,,15.0,,,,,,,,,,,,,,
10.1021/jp001934c,23.0,45.0,37.0,,,,,,,,,,,,,,,,
10.1189/jlb.68.2.180,6.0,,6.0,,,,,,,,,,,,,,,,
10.1152/ajpcell.2000.278.1.c110,7.0,7.0,7.0,,2.0,,,,,,,,,,,,,,
10.1152/ajplung.2000.278.1.l131,7.0,16.0,8.0,,3.0,,,,,,,,,,,,,,
10.1063/1.126214,176.0,610.0,545.0,,,,1.0,,,1.0,,,,,,,,,
10.3141/1720-04,4.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1021/ic9911264,10.0,45.0,31.0,,2.0,,,,,,,,,,,,,,
10.1021/jo991288h,14.0,65.0,48.0,,9.0,,,,,,,,,,,,,,
10.1063/1.1287778,42.0,99.0,79.0,,,,,,,,,,,,,,,,
10.1016/s1044-0305(99)00117-8,6.0,21.0,16.0,,1.0,,,,,,,,,,,,,,
10.2514/2.4664,55.0,191.0,126.0,,,,,,,,,,,,,,,,
10.1518/001872000779698169,36.0,22.0,18.0,,5.0,,,,,,,,,,,,,,
10.1021/ic000819d,51.0,55.0,50.0,,3.0,,,,,,,,,,,,,,
10.1021/ja9938128,11.0,43.0,37.0,,,,,,,,,,,,,,,,
10.1366/0003702001951084,12.0,4.0,4.0,,,,,,,,,,,,,,,,
10.1084/jem.192.6.857,20.0,65.0,52.0,,23.0,,,,,,,,,,,,,,
10.2514/2.5607,30.0,17.0,14.0,,,,,,,,,,,,,,,,
10.1021/jp003566i,28.0,125.0,111.0,,,,,,,,,,,,,,,,
10.1021/ja993537p,25.0,80.0,79.0,,,,,,,1.0,,,,,,,,,
10.2466/pr0.2000.86.2.421,11.0,11.0,5.0,,3.0,,,,,,,,,,,,,,
10.1063/1.1326482,40.0,191.0,155.0,,,,,,,,,,,,,,,,
10.1016/s0022-5347(05)67202-3,1.0,13.0,10.0,,,,,,,,,,,,,,,,
10.1063/1.1308274,19.0,16.0,16.0,,,,,,,,,,,,,,,,
10.1063/1.126832,1.0,23.0,20.0,,,,,,,,,,,,,,,,
10.1021/ie990224u,8.0,11.0,8.0,,,,,,,,,,,,,,,,
10.1063/1.482045,18.0,51.0,50.0,,,,,,,,,,,,,,,,
10.1021/jp001992y,47.0,46.0,35.0,,,,,,,,,,,,,,,,
10.1016/s0194-5998(00)70140-9,32.0,89.0,76.0,,,,,,,,,,,,,,,,
10.1021/ie9906215,30.0,47.0,32.0,,,1.0,,,,,,,,,,,,,
10.1055/s-0042-1748125,31.0,,,,,,,,,,,,,,,,,,
10.1021/ja000777s,17.0,57.0,31.0,,,,,,,,,,,,,,,,
10.1016/s0194-5998(00)70153-7,11.0,46.0,41.0,,9.0,,,,,,,,,,,,,,
10.1021/bi001249w,26.0,67.0,40.0,,24.0,,,,,,,,,,,,,,
10.1258/1357633001935031,1.0,,,,,,,,,,,,,,,,,,
10.1055/s-0042-1748133,40.0,,,,,,,,,,,,,,,,,,
10.1021/jp000913f,31.0,37.0,29.0,,,,,,,,,,,,,,,,
10.1152/jappl.2000.88.3.966,44.0,48.0,27.0,,15.0,,,,,,,,,,,,,,
10.1021/ie990781g,50.0,72.0,55.0,,,,,,,,,,,,,,,,
10.1091/mbc.11.11.3925,34.0,61.0,52.0,,33.0,,,,,1.0,,,,,,,,,
10.1063/1.371910,10.0,80.0,58.0,,,,,,,,,,,,,,,,
10.1063/1.126415,8.0,18.0,17.0,,,,,,,,,,,,,,,,
10.1021/jp9944841,9.0,12.0,8.0,,,,,,,,,,,,,,,,
10.1080/00319100008030280,3.0,6.0,6.0,,,,,,,,,,,,,,,,
10.1152/ajpendo.2000.279.1.e1,12.0,11.0,6.0,,3.0,,,,,,,,,,,,,,
10.1063/1.125821,6.0,20.0,15.0,,,,,,,,,,,,,,,,
10.1021/jp0012799,20.0,75.0,61.0,,,,,,,,,,,,,,,,
10.1177/000313480006600605,41.0,,1.0,,,1.0,,,,,,,,,,,,,
10.1021/cc000081v,11.0,15.0,13.0,,1.0,,,,,,,,,,,,,,
10.1021/jo991927o,102.0,275.0,225.0,,22.0,,3.0,,2323.0,,,,,,,,,,
10.1116/1.591233,5.0,4.0,6.0,,,,,,,,,,,,,,,,
10.2514/2.4514,42.0,133.0,93.0,,,,,,499.0,2.0,,,,,,,,,
10.1021/ar000110a,850.0,2056.0,1839.0,,112.0,,,,,1.0,,,,,,,,,
10.1063/1.1290020,17.0,71.0,61.0,,,,,,,,,,,,,,,,
10.2514/2.927,6.0,21.0,16.0,,,,,,,,,,,,,,,,
10.1021/bi001065h,87.0,85.0,74.0,,39.0,,,,,,,,,,,,,,
10.1084/jem.192.2.205,109.0,239.0,225.0,,101.0,,,,,,,,,,,,,,
10.1021/ja993221h,68.0,63.0,81.0,,,,5.0,,,,,,,,,,,,
10.1289/ehp.00108399,32.0,120.0,82.0,,16.0,3.0,,,,,,,,,,,,,
10.1116/1.591174,5.0,4.0,4.0,,,,,,,,,,,,,,,,
10.1021/ja002546r,8.0,35.0,26.0,,,,,,,,,,,,,,,,
10.1021/ic0004232,35.0,88.0,68.0,,12.0,,,,,,,,,,,,,,
10.1063/1.1331093,2.0,6.0,9.0,,,,,,,,,,,,,,,,
10.1021/ol006434g,30.0,52.0,47.0,,5.0,,,,,,,,,,,,,,
10.1021/ol000120b,10.0,96.0,82.0,,2.0,,,,,,,,,,,,,,
10.3141/1720-10,7.0,,,,,,,,,,,,,,,,,,
10.1021/ie000718n,16.0,8.0,4.0,,,,,,,,,,,,,,,,
10.1021/bi000141d,16.0,24.0,12.0,,7.0,,,,,,,,,,,,,,
10.1063/1.1150675,15.0,32.0,20.0,,,,1.0,,,,,,,,,,,,
10.1177/088626000015009006,26.0,28.0,15.0,,,1.0,,,,,,,,,,,,,
10.1021/jf990916t,379.0,530.0,357.0,,88.0,2.0,1.0,,,,,,,,,,,,
10.1021/jo001386z,10.0,25.0,28.0,,1.0,,,,,,,,,,,,,,
10.1063/1.1313239,16.0,58.0,58.0,,,,,,,,,,,,,,,,
10.1063/1.126226,12.0,53.0,38.0,,,,,,,,,,,,,,,,
10.3109/10428190009054883,20.0,10.0,5.0,,3.0,,,,,,,,,,,,,,
10.1210/endo.141.10.7689,17.0,70.0,41.0,,19.0,,,,,,,,,,,,,,
10.1021/ic991008g,3.0,10.0,11.0,,,,,,,,,,,,,,,,
10.1021/bi9919798,28.0,52.0,43.0,,12.0,,,,,,,,,,,,,,
10.1146/annurev.cellbio.16.1.365,403.0,534.0,452.0,,154.0,,,,,2.0,,,,,,,,,
10.1177/152692480001000203,1.0,,4.0,,,,,,,,,,,,,,,,
10.1128/iai.68.5.2808-2818.2000,72.0,138.0,103.0,,45.0,,,,,,,,,,,,,,
10.1063/1.482064,1.0,13.0,14.0,,,,,,,,,,,,,,,,
10.1021/ja002888x,9.0,21.0,18.0,,,,,,,,,,,,,,,,
10.1016/s0194-5998(00)70150-1,6.0,4.0,4.0,,1.0,,,,,,,,,,,,,,
10.1021/ac000104s,6.0,,2.0,,,,,,,,,,,,,,,,
10.1128/mcb.20.10.3522-3528.2000,41.0,72.0,65.0,,39.0,,,,,,,,,,,,,,
10.1021/om0002327,9.0,25.0,24.0,,,,,,,,,,,,,,,,
10.1021/jp002549q,66.0,68.0,65.0,,,,,,,,,,,,,,,,
10.1063/1.1313810,7.0,5.0,4.0,,,,,,,,,,,,,,,,
10.1152/ajpcell.2000.279.2.c410,8.0,73.0,68.0,,21.0,,,,,,,,,,,,,,
10.1152/jn.2000.83.4.1958,18.0,29.0,22.0,,13.0,,,,,,,,,,,,,,
10.1021/ac000261r,21.0,71.0,51.0,,9.0,,1.0,,,,,,,,,,,,
10.1177/155005940003100306,10.0,18.0,12.0,,7.0,,,,,,,,,,,,,,
10.1063/1.480711,1.0,11.0,6.0,,,,,,,,,,,,,,,,
10.1021/bi000140l,28.0,50.0,30.0,,19.0,,,,,,,,,,,,,,
10.1120/jacmp.v1i3.2640,12.0,7.0,7.0,,5.0,,,,,,,,,,,,,,
10.1063/1.1322598,1.0,7.0,6.0,,,,,,,,,,,,,,,,
10.1177/026765910001500206,18.0,10.0,8.0,,,,,,,,,,,,,,,,
10.1063/1.1322050,33.0,63.0,58.0,,,,,,,,,,,,,,,,
10.1359/jbmr.2000.15.3.507,41.0,186.0,148.0,,38.0,1.0,,,,,,,,,,,,,
10.1080/10641190009353800,,7.0,5.0,,,,,,,,,,,,,,,,
10.1021/cc990084b,17.0,48.0,37.0,,3.0,,,,,4.0,,,,,,,,,
10.1152/ajpheart.2000.278.6.h1955,19.0,54.0,35.0,,13.0,,,,,,,,,,,,,,
10.2466/pr0.2000.87.3.823,15.0,2.0,1.0,,,,,,,,,,,,,,,,
10.4043/12104-ms,1.0,,1.0,,,,,,,,,,,,,,,,
10.1021/ic9906961,17.0,106.0,85.0,,1.0,,,,,,,,,,,,,,
10.1021/ie000058m,4.0,12.0,11.0,,,,,,,,,,,,,,,,
10.1177/000313480006600801,14.0,,,,,,,,,,,,,,,,,,
10.1063/1.874208,2.0,1.0,1.0,,,,,,,,,,,,,,,,
10.1105/tpc.12.9.1523,251.0,249.0,177.0,,95.0,,,,,,,,,,,,,,
10.1021/la9905158,11.0,3.0,2.0,,,,,,,,,,,,,,,,
10.1021/ac000598t,10.0,42.0,29.0,,4.0,,,,,,,,,,,,,,
10.1287/mnsc.46.4.530.12055,142.0,133.0,148.0,7.0,,4.0,,,,,,,,,,,,,
10.2466/pr0.2000.86.1.225,6.0,,1.0,,,,,,,,,,,,,,,,
10.1083/jcb.149.3.591,47.0,80.0,68.0,,31.0,,,,,,,,,,,,,,
10.1152/ajpendo.2000.279.4.e855,19.0,21.0,14.0,,8.0,,,,,,,,,,,,,,
10.1063/1.126917,12.0,15.0,13.0,,,,,,,,,,,,,,,,
10.1083/jcb.148.1.17,47.0,101.0,96.0,,39.0,,,,,,,,,,,,,,
10.1016/s1044-0305(00)00173-2,4.0,1.0,2.0,,,,,,,,,,,,,,,,
10.2118/59697-ms,2.0,,1.0,,,,,,,,,,,,,,,,
10.1366/0003702001948592,20.0,27.0,21.0,,,,,,,,,,,,,,,,
10.1089/107830200311842,29.0,27.0,22.0,,,1.0,,,,,,,,,,,,,
10.1021/tx990160s,2.0,28.0,18.0,,4.0,,,,,,,,,,,,,,
10.13182/nt00-a3054,5.0,1.0,1.0,,,,,,,,,,,,,,,,
10.2514/2.4611,70.0,163.0,66.0,,,,,,,,,,,,,,,,
10.7326/0003-4819-132-9-200005020-00007,48.0,173.0,102.0,,34.0,,,,,,,,,,,,,,
10.2514/2.6540,7.0,27.0,14.0,,,,,,,,,,,,,,,,
10.1152/ajpendo.2000.278.3.e477,15.0,28.0,18.0,,5.0,,,,,,,,,,,,,,
10.18785/goms.1801.05,3.0,23.0,,,,,,,,,,42.0,69.0,,,,,,
10.18785/goms.1801.04,14.0,,,,,9.0,,,,,,11.0,162.0,,,,,,
10.1116/1.1289547,16.0,29.0,14.0,,,,,,,,,,,,,,,,
10.1152/ajpendo.2000.278.6.e992,33.0,29.0,19.0,,7.0,,,,,,,,,,,,,,
10.1063/1.1320019,8.0,11.0,10.0,,,,,,,,,,,,,,,,
10.1021/ma000776k,55.0,74.0,62.0,,,,1.0,,,,,,,,,,,,
10.1021/ja9935153,46.0,180.0,165.0,,,,,,,,,,,,,,,,
10.1016/s0022-5347(05)66932-7,38.0,36.0,32.0,,,,,,,,,,,,,,,,
10.1083/jcb.150.4.771,91.0,151.0,141.0,,74.0,,,,,,,,,,,,,,
10.1089/107632700418083,243.0,235.0,210.0,,53.0,,,,,,,,,,,,,,
10.1021/ja000307y,20.0,49.0,40.0,,,,,,,,,,,,,,,,
10.1021/jp9941357,12.0,50.0,38.0,,,,,,,,,,,,,,,,
10.1152/ajpheart.2000.279.5.h2159,13.0,19.0,10.0,,5.0,,,,,,,,,,,,,,
10.1021/la991388i,6.0,27.0,20.0,,,,,,,,,,,,,,,,
10.1007/s002689910018,86.0,313.0,274.0,,124.0,1.0,,,,,,,,,,,,,
10.1016/s0022-5347(05)67920-7,1.0,7.0,5.0,,,,,,,,,,,,,,,,
10.1021/ic990594a,19.0,67.0,48.0,,2.0,,,,,,,,,,,,,,
10.1021/ic0007097,8.0,39.0,33.0,,1.0,,,,,1.0,,,,,,,,,
10.1128/jcm.38.11.4167-4170.2000,42.0,55.0,49.0,,19.0,,,,,,,,,,,,,,
10.1128/mcb.20.20.7693-7705.2000,52.0,110.0,117.0,,59.0,,,,,,,,,,,,,,
10.1126/science.287.5457.1471,393.0,1557.0,1411.0,,49.0,,2.0,2.0,,5.0,,,,,,,,,
10.1634/theoncologist.5-4-302,2692.0,1920.0,1342.0,1.0,536.0,44.0,,6.0,169.0,3.0,,,,4.0,3.0,,,,
10.1177/088626000015002006,39.0,66.0,37.0,,,,,,,,,,,,,,,,
10.1152/ajpheart.2000.279.4.h1698,38.0,76.0,65.0,,16.0,,,,,,,,,,,,,,
10.1002/0471142727.mb2402s52,86.0,1.0,3.0,,3.0,,,,,,,,,,,,,,
10.1021/ac991427v,5.0,7.0,6.0,,1.0,,,,,,,,,,,,,,
10.1021/ol005769v,5.0,51.0,44.0,,6.0,,,,,,,,,,,,,,
10.1128/cdli.7.2.245-250.2000,20.0,6.0,7.0,,1.0,,,,37.0,,,,,,,,,,
10.1021/ac000997o,145.0,250.0,187.0,,49.0,,1.0,,,,,,,,,,,,
10.1289/ehp.00108769,180.0,283.0,223.0,,50.0,8.0,,,9.0,3.0,,,,1.0,,,,,
10.1128/mcb.20.23.9084-9091.2000,41.0,70.0,55.0,,30.0,,,,,2.0,,,,,,,,,
10.1021/la0011432,6.0,24.0,20.0,,,,,,,,,,,,,,,,
10.1128/mcb.20.10.3667-3676.2000,34.0,39.0,36.0,,20.0,,,,,,,,,,,,,,
10.1063/1.481988,9.0,30.0,28.0,,,,,,,,,32.0,402.0,,,,,,
10.1115/1.483211,10.0,17.0,4.0,,,,,,,,,,,,,,,,
10.1021/ac991041k,76.0,122.0,104.0,,9.0,,,,,,,,,,,,,,
10.1063/1.481386,33.0,32.0,34.0,,,,,,,,,,,,,,,,
10.1016/s0194-5998(00)70138-0,22.0,20.0,16.0,,4.0,,,,,,,,,,,,,,
10.1063/1.126698,10.0,87.0,85.0,,,,,,,,,,,,,,,,
10.1021/es9910412,38.0,80.0,52.0,,,6.0,,,,,,,,,,,,,
10.1081/bip-100101026,24.0,22.0,16.0,,6.0,,,,,,,,,,,,,,
10.3141/1739-01,8.0,11.0,5.0,,,,,,,,,,,,,,,,
10.1093/genetics/154.1.27,173.0,171.0,97.0,,77.0,,,,,,,,,,,,,,
10.1021/ol005568r,10.0,16.0,14.0,,,,,,,,,,,,,,,,
10.1021/jo001333h,43.0,119.0,81.0,,2.0,,,,,,,,,,,,,,
10.1120/jacmp.v1i1.2651,62.0,66.0,31.0,,23.0,,,,,,,,,,,,,,
10.3109/10826080009148245,43.0,55.0,41.0,,8.0,6.0,,,,,,,,,,,,,
10.1021/ie9904091,8.0,5.0,5.0,,,,,,,,,,,,,,,,
10.1242/jeb.203.11.1733,27.0,23.0,30.0,,4.0,,,,,6.0,,,,,,,,,
10.1021/es9910558,37.0,84.0,59.0,,,1.0,,,,,,,,,,,,,
10.1021/ac0001941,19.0,39.0,24.0,,7.0,,,,,,,,,,,,,,
10.1152/jn.2000.83.4.2458,28.0,30.0,22.0,,8.0,,,,,,,,,,,,,,
10.1002/j.1536-4801.2000.tb07178.x,3.0,,,,,,,,,,,,,,,,,,
10.1164/ajrccm.162.5.9912145,77.0,153.0,127.0,,44.0,1.0,,,,,,,,,,,,,
10.1142/9789812792297_0021,,,,,,,,,,,,,,,,,,,
10.1116/1.1285933,3.0,2.0,3.0,,,,,,,,,,,,,,,,
10.1021/ac000278+,7.0,17.0,12.0,,4.0,,,,,,,,,,,,,,
10.1021/ci990127b,7.0,,21.0,,,,,,,,,,,,,,,,
10.1177/0265407500174010,25.0,17.0,10.0,,,,,,,,,,,,,,,,
10.1021/jo991439g,5.0,13.0,10.0,,,,,,,,,,,,,,,,
10.1063/1.372039,18.0,71.0,55.0,,,,,,,,,,,,,,,,
10.1115/detc2000/mech-14159,1.0,,,,,,,,,,,,,,,,,,
10.2118/60289-ms,7.0,,15.0,,,,,,,,,,,,,,,,
10.1177/10778010022181903,16.0,37.0,25.0,,,,,,,,,,,,,,,,
10.2118/62557-ms,13.0,61.0,41.0,,,,,,,,,,,,,,,,
10.1177/088626000015002003,24.0,34.0,27.0,,,,,,,,,,,,,,,,
10.58680/ccc20001410,17.0,,,,,,,,,,,,,,,,,,
10.1063/1.1322374,4.0,48.0,40.0,,,,,,,,,,,,,,,,
10.2514/2.4551,16.0,54.0,37.0,,,,,,,,,,,,,,,,
10.1359/jbmr.2000.15.6.1119,10.0,52.0,41.0,,17.0,,,,,,,,,,,,,,
10.1063/1.1287123,12.0,61.0,59.0,,,,,,,,,,,,,,,,
10.1021/bi000272e,9.0,21.0,17.0,,8.0,,,,,,,,,,,,,,
10.1289/ehp.00108569,44.0,29.0,20.0,,16.0,1.0,,1.0,,,,,,,,,,,
10.1152/ajpcell.2000.279.3.c634,5.0,9.0,10.0,,3.0,,,,,,,,,,,,,,
10.1055/s-0042-1748141,53.0,,,,,,,,,,,,,,,,,,
10.1145/378995.379232,17.0,16.0,198.0,,,,1.0,,,3.0,,,,,,,,,
10.1145/378993.379232,17.0,16.0,198.0,,,,1.0,,,3.0,,,,,,,,,
10.1115/2000-gt-0484,12.0,28.0,13.0,,,,,,,,,,,,,,,,
10.1021/jf990638y,7.0,11.0,9.0,,2.0,,,,,,,,,,,,,,
10.7589/0090-3558-36.3.518,32.0,54.0,47.0,,18.0,,,,16.0,,,,,,,,,,
10.1021/ie990796e,2.0,5.0,4.0,,,,,,,,,,,,,,,,
10.1063/1.874175,2.0,7.0,5.0,,,,,,,,,,,,,,,,
10.1142/9789812817624_0024,,,,,,,,,,,,,,,,,,,
10.1152/ajplung.2000.278.2.l382,9.0,18.0,16.0,,3.0,,,,,,,,,,,,,,
10.1152/jappl.2000.88.2.386,400.0,414.0,301.0,5.0,118.0,,,,233.0,1.0,,,,,1.0,,,,
10.1161/01.str.31.7.1785-d,26.0,20.0,14.0,,2.0,,,,,,,,,,1.0,,,,
10.1145/384264.379232,17.0,16.0,198.0,,,,1.0,,,3.0,,,,,,,,,
10.1016/s0194-5998(00)70142-2,88.0,234.0,181.0,,63.0,,,,,,,,,,,,,,
10.1067/mhn.2000.106007,27.0,72.0,59.0,,15.0,,,,,,,,,,,,,,
10.1211/0022357001777595,11.0,46.0,31.0,,6.0,,,,,,,,,,,,,,
10.1152/ajplung.2000.278.3.l477,1.0,16.0,16.0,,3.0,,,,,,,,,,,,,,
10.1063/1.480977,2.0,3.0,3.0,,,,,,,,,,,,,,,,
10.1177/107834580000700203,5.0,2.0,,,,,,,,,,,,,,,,,
10.1145/332357.332370,6.0,53.0,43.0,,,,,,,,,,,,,,,,
10.1091/mbc.11.6.2103,113.0,198.0,179.0,,96.0,,,,,,,,,,,,,,
10.1021/jo000654q,14.0,20.0,16.0,,,,,,,,,,,,,,,,
10.1002/0471141755.ph0118s08,21.0,,2.0,,2.0,,,,,,,,,,,,,,
10.1063/1.126323,6.0,9.0,7.0,,,,,,,,,,,,,,,,
10.1309/rm1q-1t0b-wkqb-af5a,10.0,47.0,37.0,,7.0,,,,,,,,,,,,,,
10.1128/mcb.20.22.8432-8446.2000,34.0,64.0,62.0,,33.0,,,,,,,,,,,,,,
10.1021/ja994392p,2.0,15.0,10.0,,,,,,,,,,,,,,,,
10.1016/s1044-0305(00)00124-0,2.0,6.0,5.0,,2.0,,,,,,,,,,,,,,
10.1145/356989.357000,205.0,183.0,82.0,,,,,,,,,,,,,,,,
10.1177/09680519000060010701,29.0,73.0,63.0,,13.0,,,,,1.0,,,,,,,,,
10.1128/mcb.20.11.4149-4158.2000,115.0,241.0,210.0,,101.0,,1.0,,,1.0,,,,,,,,,
10.1097/00006123-200005000-00012,31.0,46.0,40.0,,14.0,,,,246.0,,,,,,,,,,
10.1021/jp000099w,8.0,39.0,33.0,,,,,,,,,,,,,,,,
10.1121/1.1289665,9.0,24.0,19.0,,,,,,,,,,,,,,,,
10.1128/mcb.20.21.8001-8007.2000,54.0,122.0,101.0,,39.0,,,,,,,,,,,,,,
10.1021/jp002880+,96.0,199.0,152.0,,,,,,,,,,,,,,,,
10.1091/mbc.11.6.2161,67.0,88.0,72.0,,41.0,,,,,,,,,,,,,,
10.1084/jem.192.4.507,30.0,59.0,49.0,,20.0,,,,,,,,,,,,,,
10.2118/59747-ms,7.0,10.0,11.0,,,,,,,,,,,,,,,,
10.1016/s0194-5998(00)70041-6,17.0,38.0,14.0,,,,,,,,,,,,,,,,
10.1152/jappl.2000.88.6.2205,46.0,40.0,26.0,,18.0,,,,,,,,,,,,,,
10.1063/1.126485,7.0,15.0,14.0,,,,,,,,,,,,,,,,
10.7589/0090-3558-36.3.551,26.0,26.0,21.0,,6.0,4.0,,,,,,,,,,,,,
10.1021/ol005510c,20.0,63.0,41.0,,2.0,,,,,,,,,,,,,,
10.1021/jo9917590,32.0,30.0,16.0,,4.0,,,,,2.0,,,,,,,,,
10.1063/1.481015,1.0,13.0,13.0,,,,,,,,,,,,,,,,
10.1021/bi000291o,27.0,54.0,47.0,,13.0,,,,,,,,,,,,,,
10.1061/(asce)1090-0241(2000)126:4(360),37.0,85.0,64.0,,,1.0,,,,,,,,,,,,,
10.3141/1725-12,14.0,7.0,4.0,,,,,,,,,,,,,,,,
10.1128/jvi.74.17.8127-8134.2000,181.0,200.0,166.0,,160.0,,,,15.0,,,,,,,,,,
10.1080/00028533.2000.11951656,1.0,,,,,,,,,,,,,,,,,,
10.1021/bi001522u,11.0,21.0,16.0,,3.0,,,,,,,,,,,,,,
10.1128/jvi.74.19.9099-9105.2000,19.0,72.0,59.0,,43.0,1.0,,,,,,,,,,,,,
10.1021/ic991406j,9.0,36.0,37.0,,1.0,,,,,,,,,,,,,,
10.1152/ajpregu.2000.278.5.r1305,6.0,19.0,15.0,,4.0,,,,,,,,,,,,,,
10.1021/ol991352h,12.0,47.0,37.0,,,,,,,,,,,,,,,,
10.1002/0471142735.im0603s37,77.0,5.0,2.0,,5.0,,,,,,,,,,,,,,
10.1063/1.126283,8.0,12.0,5.0,,,,,,,,,,,,,,,,
10.1021/ja992989z,33.0,63.0,58.0,,,,,,,,,,,,,,,,
10.1021/ic000833q,19.0,37.0,25.0,,,,,,,,,,,,,,,,
10.1063/1.1290157,7.0,83.0,60.0,,,,,,,,,,,,,,,,
10.1021/ac9912552,141.0,134.0,111.0,,7.0,,,,,,,,,,,,,,
10.1021/jp0020889,9.0,15.0,11.0,,,,,,,,,,,,,,,,
10.1021/ic000545u,10.0,46.0,42.0,,,,,,,,,,,,,,,,
10.1021/ic000651w,3.0,15.0,12.0,,,,,,,,,,,,,,,,
10.1021/la000573p,9.0,23.0,20.0,,,,,,,,,,,,,,,,
10.1021/ic0001715,35.0,64.0,47.0,,4.0,,,,,,,,,,,,,,
10.1063/1.1131443,6.0,20.0,20.0,,,,,,,,,,,,,,,,
10.1115/1.1303072,4.0,45.0,22.0,,,,,,,,,,,,,,,,
10.1021/cr980404y,285.0,841.0,766.0,,34.0,,,,,1.0,,,,,,,,,
10.2190/qmv2-3nt5-bkd5-6aav,27.0,44.0,20.0,,,,,,,,,,,,,,,,
10.1021/cm000603+,18.0,32.0,32.0,,,,,,,,,,,,,,,,
10.1021/ol0062796,8.0,26.0,17.0,,1.0,,1.0,,,,,,,,,,,,
10.1021/ac000131i,19.0,30.0,25.0,,9.0,,,,,,,,,,,,,,
10.1021/ac991077c,15.0,34.0,23.0,,,,,,,,,,,,,,,,
10.1152/ajpendo.2000.279.4.e920,6.0,10.0,3.0,,2.0,,,,,,,,,,,,,,
10.1007/s11745-000-0527-9,6.0,4.0,4.0,,,,,,,,,,,,,,,,
10.1152/ajpheart.2000.279.6.h3065,7.0,15.0,9.0,,2.0,,,,,,,,,,,,,,
10.1021/ac9914925,11.0,14.0,10.0,,,,,,,,,,,,,,,,
10.1152/ajpcell.2000.279.5.c1443,13.0,55.0,48.0,,19.0,,,,,,,,,,,,,,
10.1021/la000544e,17.0,44.0,36.0,,,,,,,,,,,,,,,,
10.1063/1.1304864,24.0,5.0,5.0,,,,,,,,,,,,,,,,
10.1063/1.1308566,17.0,6.0,5.0,,,,,,,,,,,,,,,,
10.1021/ja005519+,16.0,50.0,41.0,,,,,,,,,,,,,,,,
10.1021/jo000922k,46.0,46.0,35.0,,9.0,,,,,,,,,,,,,,
10.1021/bi9926173,12.0,38.0,28.0,,16.0,,,,,,,,,,,,,,
10.1021/ma9907643,5.0,41.0,25.0,,,,,,,,,,,,,,,,
10.1177/107319110000700109,4.0,4.0,2.0,,,,,,,,,,,,,,,,
10.1145/343647.343835,,,3.0,,,,,,,,,,,,,,,,
10.1021/bi992772h,10.0,32.0,24.0,,13.0,,,,,,,,,,,,,,
10.1063/1.873939,11.0,19.0,20.0,,,,,,,,,,,,,,,,
10.1021/ol005585g,41.0,108.0,84.0,,12.0,,,,,,,,,,,,,,
